market,latest_date,latest_price,p7d_ago,p14d_ago,p30d_ago
Ahmednagar APMC,2026-02-26,650.0,650.0,850.0,1100.0
Akluj APMC,2026-02-26,800.0,800.0,1000.0,1000.0
Amrawati(Frui & Veg. Market) APMC,2026-02-25,750.0,900.0,900.0,750.0
Bhusaval APMC,2026-02-26,1500.0,1200.0,1200.0,1200.0
Chandrapur APMC,2026-02-26,600.0,1000.0,1000.0,1000.0
Chandrapur(Ganjwad) APMC,2026-02-24,600.0,800.0,700.0,800.0
Chandvad APMC,2026-02-14,500.0,500.0,500.0,500.0
Chattrapati Sambhajinagar APMC,2026-02-23,600.0,800.0,700.0,700.0
Dharashiv APMC,2025-12-26,1350.0,2250.0,2250.0,2100.0
Ghoti APMC,2026-02-12,900.0,950.0,925.0,1200.0
Hingna APMC,2026-02-26,1000.0,1383.0,1062.0,1215.0
Islampur APMC,2026-02-24,1250.0,1250.0,1250.0,1250.0
Jalgaon APMC,2026-02-26,850.0,600.0,500.0,1000.0
Junnar(Narayangaon) APMC,2026-02-26,550.0,450.0,450.0,900.0
Junnar(Otur) APMC,2026-02-25,400.0,600.0,600.0,1200.0
Kalmeshwar APMC,2026-02-27,840.0,830.0,825.0,1015.0
Kalyan APMC,2026-02-24,1800.0,650.0,1000.0,1250.0
Kamthi APMC,2026-02-23,1320.0,1270.0,1290.0,1770.0
Karad APMC,2026-02-25,1200.0,1500.0,1500.0,1500.0
Khed APMC,2026-02-26,600.0,800.0,800.0,800.0
Khed(Chakan) APMC,2026-02-26,600.0,700.0,800.0,1000.0
Kolhapur APMC,2026-02-26,600.0,800.0,800.0,1200.0
Manchar APMC,2026-02-24,400.0,500.0,750.0,1100.0
Mumbai APMC,2026-02-27,450.0,600.0,700.0,800.0
Murbad APMC,2025-09-19,2500.0,900.0,900.0,900.0
Nagpur APMC,2026-02-26,450.0,725.0,450.0,650.0
Nasik APMC,2026-02-26,750.0,833.0,833.0,1250.0
Navapur APMC,2025-08-25,929.0,816.0,816.0,1375.0
Palus APMC,2026-02-20,800.0,700.0,800.0,800.0
Pandharpur APMC,2025-10-31,1000.0,1200.0,1200.0,800.0
Panvel APMC,2026-02-26,1750.0,1350.0,1350.0,2750.0
Paranda APMC,2024-07-25,300.0,300.0,300.0,300.0
Parshiwani APMC,2023-09-11,1500.0,1800.0,1800.0,2300.0
Patan APMC,2025-08-04,1300.0,1200.0,1200.0,1200.0
Pen APMC,2024-08-04,2400.0,3600.0,2600.0,2800.0
Premium Krushi Utpanna Bazar  APMC,2025-10-23,1600.0,700.0,700.0,700.0
Pune APMC,2026-02-27,650.0,700.0,750.0,900.0
Pune(Khadiki) APMC,2026-02-24,650.0,1050.0,1000.0,1000.0
Pune(Manjri) APMC,2026-02-26,700.0,700.0,700.0,1000.0
Pune(Moshi) APMC,2026-02-27,900.0,750.0,900.0,1000.0
Pune(Pimpri) APMC,2026-02-27,850.0,900.0,1150.0,1350.0
Rahata APMC,2026-02-27,400.0,350.0,750.0,750.0
Rahuri APMC,2026-02-25,1500.0,600.0,600.0,950.0
Rahuri(Songaon) APMC,2026-02-03,1350.0,1000.0,1000.0,1750.0
Ramtek APMC,2026-02-24,700.0,700.0,900.0,900.0
Ratnagiri (Nachane) APMC,2026-02-27,900.0,1500.0,1100.0,1700.0
Satara APMC,2026-02-26,450.0,550.0,700.0,1250.0
Shrirampur APMC,2026-02-27,700.0,700.0,700.0,800.0
Solapur APMC,2026-02-26,400.0,500.0,500.0,600.0
Vadgaonpeth APMC,2026-02-26,900.0,1000.0,900.0,1000.0
Vai APMC,2026-02-26,750.0,750.0,650.0,1600.0
