Taluka,Dominant_Soil_Type,Secondary_Soil_Type,Confidence,Notes
AMBEGAON,Black Soil (Regur),Red/Brown Soil,High,Central plains; typical Deccan regur (black cotton) soils.
BARAMATI,Black Soil (Regur),Alluvial pockets,High,"Flat Deccan plains; extensive regur soils, agriculture dominant."
BHOR,Lateritic / Coarse Shallow,Coarse/Shallow,Medium,Hilly and plateau areas on eastern/western fringes; lateritic and shallow soils.
DAUND,Alluvial / Black Soil,Black Soil (Regur),Medium,Parts lie along Bhima river floodplain giving alluvial pockets.
HAVELI,Black Soil (Regur),Red/Brown Soil,High,Haveli taluka includes urban plain; regur soils present in agricultural areas.
INDAPUR,Black Soil (Regur),Alluvial pockets,High,Indapur: plain agricultural region with regur soils and some alluvium.
JUNNAR,Red/Brown & Coarse,Lateritic / Thin soils,Medium,"Upland, rocky, and erosion-prone; mixed red and lateritic soils."
KHED,Black Soil (Regur) / Red,Red/Brown Soil,Medium,Mixed landscape; transitional soils between plains and uplands.
MAVAL,Coarse/Shallow / Lateritic,Black Soil pockets,Medium,"Maval is hilly/rocky (Western Deccan edge) with shallow, gravelly soils."
MULSHI,Lateritic / Red,Black Soil pockets,Medium,Mulshi foothills of Western Ghats; lateritic & red soils common.
PURANDAR,Black Soil (Regur),Red/Brown pockets,High,Plains and agricultural tracts with regur dominating.
SHIRUR,Black Soil (Regur) / Alluvial,Alluvial/Red,High,Shirur has river influence and plain tracts; mix of alluvial & black soils.
VELHE,Lateritic / Coarse Shallow,Red/Brown pockets,Medium,"Velhe in Western Ghats, high lateritic influence; shallow soils."
